JX2-2D63	 U+6554
JX2-2D64	 U+656B
JX2-2D65	 U+657A
JX2-2D66	 U+6581
JX2-2D67	 U+6584
JX2-2D68	 U+6585
JX2-2D69	 U+658A
JX2-2D6A	 U+65B2
JX2-2D6B	 U+65B5
JX2-2D6C	 U+65B8
JX2-2D6D	 U+65BF
JX2-2D6E	 U+65C2
JX2-2D6F	 U+65C9
JX2-2D70	 U+65D4
JX2-2D71	 U+3AD6
JX2-2D72	 U+65F2
JX2-2D73	 U+65F9
JX2-2D74	 U+65FC
JX2-2D75	 U+6604
JX2-2D76	 U+6608
JX2-2D77	 U+6621
JX2-2D78	 U+662A
JX2-2D79	 U+6645
JX2-2D7A	 U+6651
JX2-2D7B	 U+664E
JX2-2D7C	 U+3AEA
JX2-2D7D	 U-000231C3
JX2-2D7E	 U+6657
JX2-2E21	 U+665B
JX2-2E22	 U+6663
JX2-2E23	 U-000231F5
JX2-2E24	 U-000231B6
JX2-2E25	 U+666A
JX2-2E26	 U+666B
JX2-2E27	 U+666C
JX2-2E28	 U+666D
JX2-2E29	 U+667B
JX2-2E2A	 U+6680
JX2-2E2B	 U+6690
JX2-2E2C	 U+6692
JX2-2E2D	 U+6699
JX2-2E2E	 U+3B0E
JX2-2E2F	 U+66AD
JX2-2E30	 U+66B1
JX2-2E31	 U+66B5
JX2-2E32	 U+3B1A
JX2-2E33	 U+66BF
JX2-2E34	 U+3B1C
JX2-2E35	 U+66EC
JX2-2E36	 U+3AD7
JX2-2E37	 U+6701
JX2-2E38	 U+6705
JX2-2E39	 U+6712
JX2-2E3A	 U-00023372
JX2-2E3B	 U+6719
JX2-2E3C	 U-000233D3
JX2-2E3D	 U-000233D2
JX2-2E3E	 U+674C
JX2-2E3F	 U+674D
JX2-2E40	 U+6754
JX2-2E41	 U+675D
JX2-2E42	 U-000233D0
JX2-2E43	 U-000233E4
JX2-2E44	 U-000233D5
JX2-2E45	 U+6774
JX2-2E46	 U+6776
JX2-2E47	 U-000233DA
JX2-2E48	 U+6792
JX2-2E49	 U-000233DF
JX2-2E4A	 U+8363
JX2-2E4B	 U+6810
JX2-2E4C	 U+67B0
JX2-2E4D	 U+67B2
JX2-2E4E	 U+67C3
JX2-2E4F	 U+67C8
JX2-2E50	 U+67D2
JX2-2E51	 U+67D9
JX2-2E52	 U+67DB
JX2-2E53	 U+67F0
JX2-2E54	 U+67F7
JX2-2E55	 U-0002344A
JX2-2E56	 U-00023451
JX2-2E57	 U-0002344B
JX2-2E58	 U+6818
JX2-2E59	 U+681F
JX2-2E5A	 U+682D
JX2-2E5B	 U-00023465
JX2-2E5C	 U+6833
JX2-2E5D	 U+683B
JX2-2E5E	 U+683E
JX2-2E5F	 U+6844
JX2-2E60	 U+6845
JX2-2E61	 U+6849
JX2-2E62	 U+684C
JX2-2E63	 U+6855
JX2-2E64	 U+6857
JX2-2E65	 U+3B77
JX2-2E66	 U+686B
JX2-2E67	 U+686E
JX2-2E68	 U+687A
JX2-2E69	 U+687C
JX2-2E6A	 U+6882
JX2-2E6B	 U+6890
JX2-2E6C	 U+6896
JX2-2E6D	 U+3B6D
JX2-2E6E	 U+6898
JX2-2E6F	 U+6899
JX2-2E70	 U+689A
JX2-2E71	 U+689C
JX2-2E72	 U+68AA
JX2-2E73	 U+68AB
JX2-2E74	 U+68B4
JX2-2E75	 U+68BB
JX2-2E76	 U+68FB
JX2-2E77	 U-000234E4
JX2-2E78	 U-0002355A
JX2-2E79	 U+FA13
JX2-2E7A	 U+68C3
JX2-2E7B	 U+68C5
JX2-2E7C	 U+68CC
JX2-2E7D	 U+68CF
JX2-2E7E	 U+68D6
