GTps-k1-E7C8	GT-K09764
GTps-k1-EA40	GT-K09765
GTps-04-98A6	GT-K09766
GTps-04-98BE	GT-K09767
GTps-k2-8999	GT-K09768
GTps-04-98E0	GT-K09769
GTps-k2-8A87	GT-K09770
GTps-09-E257	GT-K09771
GTps-k2-8EE4	GT-K09772
GTps-k2-8DA6	GT-K09773
GTps-04-98C9	GT-K09774
GTps-04-98A8	GT-K09775
GTps-k2-8EDE	GT-K09776
GTps-04-98BA	GT-K09777
GTps-09-E258	GT-K09778
GTps-04-9856	GT-K09779
GTps-04-98B3	GT-K09780
GTps-04-8AC5	GT-K09781
GTps-k1-E384	GT-K09782
GTps-k1-9056	GT-K09783
GTps-k1-E0DE	GT-K09784
GTps-k1-E95A	GT-K09785
GTps-k1-91C0	GT-K09786
GTps-09-E7E9	GT-K09787
GTps-05-9CFC	GT-K09788
GTps-k2-8C9A	GT-K09789
GTps-k2-8EEC	GT-K09790
GTps-k1-929F	GT-K09791
GTps-k1-9FDC	GT-K09792
