GTps-k1-9D47	GT-K03594
GTps-k1-9948	GT-K03595
GTps-k1-9182	GT-K03596
GTps-k1-E950	GT-K03597
GTps-02-97C3	GT-K03598
GTps-k1-91B2	GT-K03599
GTps-03-9E4F	GT-K03600
GTps-03-9E50	GT-K03601
GTps-k1-9B4D	GT-K03602
GTps-k1-9B74	GT-K03603
GTps-k1-E49B	GT-K03604
GTps-k1-9745	GT-K03605
GTps-k1-EA5F	GT-K03606
GTps-k2-9274	GT-K03607
GTps-k2-8E78	GT-K03608
GTps-k2-88A0	GT-K03609
GTps-k1-8B6F	GT-K03610
GTps-k1-958B	GT-K03611
GTps-k1-919A	GT-K03612
GTps-k1-8CEC	GT-K03613
GTps-02-9543	GT-K03614
GTps-k1-E26C	GT-K03615
GTps-k1-9FC2	GT-K03616
GTps-k2-8CBF	GT-K03617
GTps-k1-8A6B	GT-K03618
GTps-k1-9B79	GT-K03619
GTps-k2-93DD	GT-K03620
GTps-k1-925B	GT-K03621
GTps-01-88A2	GT-K03622
GTps-01-88B6	GT-K03623
GTps-01-88BD	GT-K03624
GTps-01-88CB	GT-K03625
GTps-01-88CF	GT-K03626
GTps-01-88D5	GT-K03627
GTps-01-88E7	GT-K03628
GTps-01-894A	GT-K03629
GTps-k1-89A5	GT-K03630
GTps-01-896A	GT-K03631
GTps-01-8970	GT-K03632
GTps-01-8982	GT-K03633
GTps-k1-98C9	GT-K03634
GTps-01-8984	GT-K03635
GTps-k2-88B4	GT-K03636
GTps-k2-95E2	GT-K03637
GTps-01-898A	GT-K03638
GTps-k2-9156	GT-K03639
GTps-03-E758	GT-K03640
GTps-01-8997	GT-K03641
GTps-03-9674	GT-K03642
GTps-01-899D	GT-K03643
GTps-01-89A2	GT-K03644
GTps-01-89AA	GT-K03645
GTps-01-89B5	GT-K03646
GTps-k1-E1BD	GT-K03647
GTps-01-89C0	GT-K03648
GTps-01-89CA	GT-K03649
GTps-k1-88ED	GT-K03650
GTps-01-89CD	GT-K03651
GTps-06-9486	GT-K03652
GTps-01-89D5	GT-K03653
