GTps-k1-E7BF	GT-K06762
GTps-k2-9367	GT-K06763
GTps-k1-E845	GT-K06764
GTps-k1-E8D2	GT-K06765
GTps-k1-EA93	GT-K06766
GTps-k2-88DD	GT-K06767
GTps-k2-89CB	GT-K06768
GTps-k2-9164	GT-K06769
GTps-k2-917E	GT-K06770
GTps-k1-E2BB	GT-K06771
GTps-k2-8DE9	GT-K06772
GTps-k2-8DF8	GT-K06773
GTps-10-E39D	GT-K06774
GTps-k2-8E44	GT-K06775
GTps-k2-8FC1	GT-K06776
GTps-k2-8FDA	GT-K06777
GTps-k2-918A	GT-K06778
GTps-02-93D2	GT-K06779
GTps-k1-EA76	GT-K06780
GTps-03-95E1	GT-K06781
GTps-06-E6AC	GT-K06782
GTps-k1-E2C5	GT-K06783
GTps-04-9052	GT-K06784
GTps-k1-E47D	GT-K06785
GTps-05-9040	GT-K06786
GTps-02-99BB	GT-K06787
GTps-09-E1D2	GT-K06788
GTps-k2-8FAE	GT-K06789
GTps-k1-9AF3	GT-K06790
GTps-03-E893	GT-K06791
GTps-k1-E8F8	GT-K06792
GTps-k1-9284	GT-K06793
GTps-06-91AF	GT-K06794
