JC3-48BC	U+58A2
JC3-48BD	U+58A9
JC3-48BE	U+5880
JC3-48BF	U+58CE
JC3-48C0	U+58D4
JC3-48C1	U+58DA
JC3-48C3	U+58E0
JC3-48C4	U+58E2
JC3-48C5	U+58E9
JC3-48C7	U+5858
JC3-48C8	U+580B
JC3-48C9	U+5759
JC3-48CA	U+5765
JC3-48CB	U+57AC
JC3-48CD	U+58B2
JC3-48CE	U+5905
JC3-48CF	U+5906
JC3-48D0	U+590B
JC3-48D1	U+590C
JC3-48D2	U+3686
JC3-48D3	U+8641
JC3-48D7	U+5917
JC3-48D8	U+5921
JC3-48DC	U+5936
JC3-48DD	U+5933
JC3-48DE	U+5935
JC3-48DF	U+593F
JC3-48E0	U+5943
JC3-48E1	U+5946
JC3-48E2	U+5952
JC3-48E3	U+5953
JC3-48E4	U+595B
JC3-48E5	U+595D
JC3-48E6	U+595E
JC3-48E7	U+595F
JC3-48E8	U+5972
JC3-48E9	U+594C
JC3-48EA	U+5951
JC3-48EB	U+5963
JC3-48EC	U+596D
JC3-48F0	U+599F
JC3-48F1	U+59A5
JC3-48F2	U+59F4
JC3-48F3	U+59FF
JC3-48F4	U+5A0E
JC3-48F5	U+5AC8
JC3-48F6	U+5B4C
JC3-48F7	U+5AB5
JC3-48F8	U+5AE0
JC3-48F9	U+5975
JC3-48FA	U+5976
JC3-48FB	U+598B
JC3-48FC	U+598C
JC3-48FD	U+598E
JC3-48FE	U+5992
JC3-49A1	U+5995
JC3-49A2	U+5997
JC3-49A3	U+59A4
JC3-49A4	U+59AD
JC3-49A5	U+59AF
JC3-49A6	U+59B0
JC3-49A7	U+59B7
JC3-49A8	U+59C3
JC3-49A9	U+59C4
JC3-49AA	U+59C8
JC3-49AB	U+59CA
JC3-49AC	U+59CD
JC3-49AD	U+59D2
JC3-49AE	U+59DD
JC3-49AF	U+59DE
JC3-49B0	U+59E3
JC3-49B1	U+59E4
JC3-49B2	U+59EC
JC3-49B3	U+59EF
JC3-49B4	U+59F2
JC3-49B5	U+59F8
JC3-49B6	U+5A0C
JC3-49B7	U+5A0D
JC3-49B8	U+5A12
JC3-49B9	U+5A13
JC3-49BA	U+5A1B
JC3-49BB	U+5A1E
JC3-49BC	U+5A23
JC3-49BD	U+5A27
JC3-49BE	U+5A30
JC3-49BF	U+5A44
JC3-49C0	U+5A45
JC3-49C1	U+5A48
JC3-49C2	U+5A4C
JC3-49C3	U+5A5E
JC3-49C4	U+5A63
JC3-49C5	U+5A65
JC3-49C6	U+5A66
JC3-49C7	U+5A67
JC3-49C8	U+5A6D
JC3-49C9	U+5A77
JC3-49CA	U+5A7E
JC3-49CB	U+5A84
JC3-49CC	U+5A8B
JC3-49CD	U+5A93
JC3-49CE	U+5A96
JC3-49CF	U+5A99
JC3-49D0	U+5A9C
JC3-49D1	U+5A9E
JC3-49D2	U+5A9F
JC3-49D3	U+5AA7
JC3-49D4	U+5A55
JC3-49D5	U+5AB1
JC3-49D6	U+5AB3
JC3-49D7	U+5ABA
JC3-49D8	U+5ABF
JC3-49D9	U+5AC4
JC3-49DA	U+5ACF
JC3-49DB	U+5ADC
JC3-49DC	U+5AE1
JC3-49DD	U+5AE5
JC3-49DE	U+5AF0
JC3-49DF	U+5AEA
JC3-49E0	U+5AEE
JC3-49E1	U+5AFD
JC3-49E2	U+5B00
JC3-49E3	U+5B01
JC3-49E4	U+5B05
JC3-49E5	U+5B08
JC3-49E6	U+5B19
JC3-49E7	U+5B1B
JC3-49E8	U+5B2D
JC3-49EA	U+5B4B
JC3-49EB	U+5B34
JC3-49EC	U+5ACC
JC3-49ED	U+5A9B
JC3-49EE	U+5A29
JC3-49EF	U+5ABE
JC3-49F0	U+59BA
JC3-49F2	U+5B56
JC3-49F3	U+3747
JC3-49F4	U+5B5E
JC3-49F5	U+5B6F
JC3-49F6	U+5B76
JC3-49F7	U+5B7F
JC3-49F8	U+6585
JC3-49F9	U+373E
JC3-49FA	U+5B6E
JC3-4AA1	U+5B81
JC3-4AA2	U+5B84
JC3-4AA4	U+5B86
JC3-4AA5	U+5B8A
JC3-4AA6	U+5B8E
JC3-4AA7	U+3751
JC3-4AA8	U+5B93
JC3-4AA9	U+5B96
JC3-4AAA	U+5BA8
JC3-4AAB	U+5BA9
JC3-4AAC	U+5BAF
JC3-4AAD	U+3758
JC3-4AAF	U+5BB1
JC3-4AB0	U+5BB2
JC3-4AB1	U+5BB3
JC3-4AB2	U+5BB5
JC3-4AB3	U+5BB7
JC3-4AB5	U+5BBA
JC3-4AB6	U+5BBC
JC3-4AB7	U+5BC1
JC3-4AB8	U+5BC3
JC3-4AB9	U+375F
JC3-4ABA	U+5BCD
JC3-4ABB	U+5BCF
JC3-4ABC	U+5BD2
JC3-4ABD	U+752F
JC3-4ABE	U+5BD6
JC3-4ABF	U+5BD7
JC3-4AC0	U+5BD8
JC3-4AC1	U+5BD9
JC3-4AC2	U+5BDA
JC3-4AC3	U+5BE0
JC3-4AC4	U+5BE7
JC3-4AC5	U+376D
JC3-4AC6	U+5BEC
JC3-4AC7	U+5BF4
JC3-4AC8	U+5BC3
JC3-4AC9	U+5BC0
JC3-4ACC	U+5C0A
JC3-4ACD	U+5C0B
JC3-4ACF	U+5C0E
JC3-4AD3	U+5C19
JC3-4AD4	U+5C1E
JC3-4AD8	U+5C2E
JC3-4AD9	U+5C32
JC3-4ADA	U+5C35
JC3-4ADB	U+5C2B
JC3-4ADF	U+5C63
JC3-4AE0	U+FA3B
JC3-4AE1	U+5C67
JC3-4AE2	U+5C68
JC3-4AE3	U+5C6D
JC3-4AE4	U+5C51
JC3-4AE5	U+5C61
JC3-4AE6	U+5C60
JC3-4AE7	U+5C4F
JC3-4AEB	U+5C74
JC3-4AEC	U+5C87
JC3-4AED	U+5C9D
JC3-4AEE	U+5CA2
JC3-4AEF	U+37BA
JC3-4AF0	U+37BB
JC3-4AF1	U+5CA6
JC3-4AF2	U+5CA7
JC3-4AF3	U+5CBA
JC3-4AF4	U+5CC0
JC3-4AF5	U+5CC9
JC3-4AF6	U+5CF2
JC3-4AF7	U+5D12
JC3-4AF8	U+5D2B
JC3-4AF9	U+37DC
JC3-4AFA	U+5D23
JC3-4AFB	U+5D27
JC3-4AFC	U+5D29
JC3-4AFD	U+37DF
JC3-4BA1	U+5D34
JC3-4BA2	U+5D42
JC3-4BA3	U+5D53
JC3-4BA4	U+5D61
JC3-4BA5	U+37F5
JC3-4BA6	U+5D7E
JC3-4BA7	U+5D7F
JC3-4BA8	U+5D88
JC3-4BA9	U+5D8A
JC3-4BAA	U+5D94
JC3-4BAB	U+3810
JC3-4BAC	U+5DAA
JC3-4BAD	U+3816
JC3-4BAE	U+3815
JC3-4BAF	U+5DC3
JC3-4BB0	U+5DCB
JC3-4BB1	U+5C73
JC3-4BB2	U+37AA
JC3-4BB3	U+37BC
JC3-4BB4	U+5D46
JC3-4BB5	U+5D64
JC3-4BB6	U+3800
JC3-4BB7	U+5C7A
JC3-4BB8	U+5C7B
JC3-4BB9	U+5C7C
JC3-4BBA	U+5C88
JC3-4BBB	U+5C8F
JC3-4BBC	U+5C92
JC3-4BBD	U+5CB9
JC3-4BBE	U+5CAD
JC3-4BBF	U+5CB5
JC3-4BC0	U+5CC6
JC3-4BC1	U+5CCB
JC3-4BC2	U+5CD2
JC3-4BC3	U+5CD7
JC3-4BC4	U+5CEC
JC3-4BC5	U+5CEE
JC3-4BC6	U+5CF4
JC3-4BC7	U+5CFF
JC3-4BC8	U+5D06
JC3-4BC9	U+5D10
JC3-4BCA	U+5D1D
JC3-4BCB	U+5D20
JC3-4BCC	U+5D39
JC3-4BCD	U+5D3F
JC3-4BCE	U+5D43
JC3-4BCF	U+5D48
JC3-4BD1	U+5D62
JC3-4BD2	U+5D65
JC3-4BD3	U+5D6D
JC3-4BD4	U+5D83
JC3-4BD5	U+37FD
JC3-4BD6	U+5D92
JC3-4BD7	U+5D95
JC3-4BD8	U+5D99
JC3-4BD9	U+5D9B
JC3-4BDA	U+5D9F
JC3-4BDB	U+5DA0
JC3-4BDC	U+5DA7
JC3-4BDD	U+5DAB
JC3-4BDE	U+3817
JC3-4BDF	U+5DB8
JC3-4BE0	U+5DB9
JC3-4BE1	U+381D
JC3-4BE2	U+5DC1
JC3-4BE3	U+5DD7
JC3-4BE4	U+5CF5
JC3-4BE5	U+5DD0
JC3-4BF1	U-00022037
JC3-4BF2	U+537A
JC3-4BF3	U+5DF8
JC3-4BF4	U+5DF7
JC3-4BF5	U+5DFD
JC3-4BF7	U+5E00
JC3-4BF8	U+5E0D
JC3-4BF9	U+5E12
JC3-4BFA	U+5E18
JC3-4BFB	U+5E1D
JC3-4BFC	U+5E2E
JC3-4BFD	U+5E4B
JC3-4BFE	U+5E63
JC3-4CA2	U+5E14
JC3-4CA3	U+5E15
JC3-4CA4	U+5E1E
JC3-4CA5	U+5E28
JC3-4CA6	U+5E3D
JC3-4CA7	U+5E3E
JC3-4CA8	U+5E59
JC3-4CA9	U+5E58
JC3-4CAA	U+5E6A
JC3-4CAB	U+5E6C
JC3-4CAC	U+5E6D
JC3-4CB0	U+5E73
JC3-4CB1	U+79CA
JC3-4CB2	U+5E77
JC3-4CBA	U+5E80
JC3-4CBB	U+5E8B
JC3-4CBC	U+5E99
JC3-4CBD	U+387D
JC3-4CBE	U+5EA2
JC3-4CBF	U+5EA4
JC3-4CC0	U+5EA5
JC3-4CC1	U+5EA8
JC3-4CC2	U+5EAC
JC3-4CC3	U+3888
JC3-4CC4	U+5EB3
JC3-4CC6	U+5EBD
JC3-4CC7	U+5EBE
JC3-4CC8	U+3891
JC3-4CC9	U+5EC9
JC3-4CCA	U+F928
JC3-4CCB	U+5ED2
JC3-4CCC	U+5EDE
JC3-4CCD	U+3895
JC3-4CCE	U+5EDC
JC3-4CCF	U+5EE5
JC3-4CD0	U+389C
JC3-4CD1	U+5EE0
JC3-4CD2	U+5EDF
JC3-4CD3	U+5E96
JC3-4CD5	U+5EF6
JC3-4CD6	U+5EF7
JC3-4CD7	U-0002231E
JC3-4CD8	U+5EFA
JC3-4CDC	U+5F07
JC3-4CDD	U+5F08
JC3-4CDE	U+5F0A
JC3-4CDF	U+38A3
JC3-4CE7	U+5F1C
JC3-4CE8	U+5F31
JC3-4CE9	U+5F40
JC3-4CEA	U+5F19
JC3-4CEB	U+5F21
JC3-4CEC	U+5F23
JC3-4CED	U+5F30
JC3-4CEE	U+5F34
JC3-4CEF	U+5F36
JC3-4CF0	U+5F3A
JC3-4CF1	U+5F3B
JC3-4CF2	U+5F3D
JC3-4CF3	U+38C0
JC3-4CF4	U+38C3
JC3-4CF5	U+5F4D
JC3-4CF6	U+5F45
JC3-4CF9	U+5F50
JC3-4CFA	U+5F54
JC3-4DA1	U+5F65
JC3-4DA2	U+5F67
JC3-4DA3	U+38C9
JC3-4DA4	U+5F63
JC3-4DA5	U+5F64
JC3-4DA6	U+5F69
JC3-4DA7	U-0002F89A
JC3-4DA8	U+5F6F
JC3-4DA9	U+5F70
JC3-4DAD	U+5F78
JC3-4DAE	U+5F7E
JC3-4DAF	U+5F80
JC3-4DB0	U+5F89
JC3-4DB1	U+5F8D
JC3-4DB2	U+38DE
JC3-4DB3	U+38E0
JC3-4DB4	U+38E2
JC3-4DB5	U+5F9C
JC3-4DB6	U+5F9D
JC3-4DB7	U+5FA2
JC3-4DB8	U+5FA5
JC3-4DBA	U+5FA7
