GTps-k2-8E59	GT-K00653
GTps-k1-E54E	GT-K00654
GTps-k1-9647	GT-K00655
GTps-k1-9469	GT-K00656
GTps-k1-8FAA	GT-K00657
GTps-k2-90E8	GT-K00658
GTps-k2-9189	GT-K00659
GTps-k1-95DB	GT-K00660
GTps-k2-8AD4	GT-K00661
GTps-k2-91D0	GT-K00662
GTps-02-96B9	GT-K00663
GTps-09-8E4D	GT-K00664
GTps-02-9683	GT-K00665
GTps-k1-E1B8	GT-K00666
GTps-k1-924F	GT-K00667
GTps-k1-9DDE	GT-K00668
GTps-k1-9F56	GT-K00669
GTps-k1-E7DA	GT-K00670
GTps-06-93E2	GT-K00671
GTps-k1-93DE	GT-K00672
GTps-k2-8A48	GT-K00673
GTps-k1-88F5	GT-K00674
GTps-03-8999	GT-K00675
GTps-k1-9D50	GT-K00676
GTps-k1-E8AB	GT-K00677
GTps-k1-9E7E	GT-K00678
GTps-k2-88F1	GT-K00679
GTps-k2-94BC	GT-K00680
GTps-k1-E9D3	GT-K00681
GTps-k1-89C3	GT-K00682
GTps-k2-927C	GT-K00683
GTps-02-9F61	GT-K00684
GTps-k2-94A1	GT-K00685
GTps-02-90B6	GT-K00686
GTps-k2-9167	GT-K00687
GTps-k1-E692	GT-K00688
GTps-k2-8AE5	GT-K00689
GTps-02-96BA	GT-K00690
GTps-k1-8BE3	GT-K00691
GTps-k1-E48D	GT-K00692
GTps-k1-E1DA	GT-K00693
GTps-k1-89BE	GT-K00694
GTps-k1-9181	GT-K00695
GTps-k2-8B81	GT-K00696
GTps-02-8EB7	GT-K00697
GTps-k2-90DF	GT-K00698
GTps-k1-E86E	GT-K00699
GTps-k1-9E9B	GT-K00700
GTps-k1-91FC	GT-K00701
GTps-k1-E99B	GT-K00702
GTps-k1-E1CF	GT-K00703
GTps-k1-9ADE	GT-K00704
GTps-k1-98F8	GT-K00705
GTps-02-92C0	GT-K00706
GTps-k2-919E	GT-K00707
GTps-k1-9B6B	GT-K00708
GTps-k1-9AC9	GT-K00709
GTps-k1-8A4E	GT-K00710
